"Nombre" "Inversión" "Estado_Civil" "Inversión_rescalado"
"Nigel" 4042 "Soltero" 0.397254702592781
"Zachary" 2035 "Casado" 0.193187595322827
"Kieran" 1690 "Casado" 0.158108795119471
"Edward" 4984 "Soltero" 0.493035078800203
"Colby" 6665 "Divorciado" 0.663955261820031
"Hu" 7389 "Casado" 0.737569903406202
"Carlos" 6034 "Divorciado" 0.599796644636502
"Gregory" 2298 "Viudo" 0.219928825622776
"Philip" 3451 "Casado" 0.337163192679207
"Rashad" 891 "Viudo" 0.0768683274021352
"Zachary" 3590 "Divorciado" 0.351296390442298
"Thor" 1382 "Viudo" 0.126792069140824
"Oren" 2349 "Casado" 0.225114387391967
"Warren" 4721 "Viudo" 0.466293848500254
"Phillip" 1603 "Casado" 0.149262836807321
"Arsenio" 1307 "Divorciado" 0.119166243009659
"Thane" 9373 "Divorciado" 0.939298423995933
"Timothy" 5907 "Divorciado" 0.586883579054398
"Abraham" 8384 "Soltero" 0.838739196746314
"Eric" 9089 "Divorciado" 0.910421962379258
"Wayne" 6475 "Viudo" 0.644636502287748
"Valentine" 2166 "Viudo" 0.206507371631927
"Cyrus" 3621 "Casado" 0.354448398576512
"Amos" 1214 "Viudo" 0.109710218607016
"Hoyt" 741 "Divorciado" 0.0616166751398068
"Bevis" 584 "Divorciado" 0.0456532791052364
"Garth" 1567 "Soltero" 0.145602440264362
"Chancellor" 8797 "Viudo" 0.880732079308592
"Dustin" 4484 "Soltero" 0.442196237925775
"Harlan" 1437 "Viudo" 0.132384341637011
"Brendan" 8190 "Casado" 0.819013726487036
"Chancellor" 5004 "Soltero" 0.49506863243518
"Norman" 817 "Casado" 0.0693441789527199
"Garrison" 9707 "Viudo" 0.973258769700051
"Stuart" 6753 "Viudo" 0.67290289781393
"Yasir" 2281 "Soltero" 0.218200305033045
"Dane" 5714 "Soltero" 0.567259786476868
"Moses" 8120 "Soltero" 0.811896288764616
"Stone" 4318 "Viudo" 0.425317742755465
"Amir" 9224 "Casado" 0.924148449415353
"Gage" 3710 "Divorciado" 0.363497712252161
"Fritz" 5019 "Soltero" 0.496593797661413
"Solomon" 135 "Soltero" 0
"Ivor" 758 "Viudo" 0.0633451957295374
"Rooney" 3607 "Casado" 0.353024911032028
"Denton" 9227 "Divorciado" 0.9244534824606
"Sean" 1461 "Soltero" 0.134824605998983
"Cairo" 360 "Divorciado" 0.0228774783934926
"Hall" 4311 "Viudo" 0.424605998983223
"Jonah" 8262 "Casado" 0.826334519572954
"Ralph" 5111 "Divorciado" 0.505948144382308
"Victor" 9518 "Soltero" 0.954041687849517
"Dante" 603 "Divorciado" 0.0475851550584647
"Eagan" 9122 "Soltero" 0.91377732587697
"Kane" 607 "Casado" 0.0479918657854601
"Carl" 1059 "Viudo" 0.0939501779359431
"Arsenio" 4822 "Casado" 0.476563294356889
"Flynn" 2174 "Casado" 0.207320793085918
"Drew" 9970 "Viudo" 1
"Tiger" 663 "Viudo" 0.053685815963396
"Keith" 6144 "Casado" 0.610981189628876
"Oren" 1296 "Soltero" 0.118047788510422
"Charles" 8733 "Casado" 0.874224707676665
"Ferdinand" 3485 "Casado" 0.340620233858668
"Coby" 4797 "Casado" 0.474021352313167
"Colorado" 8497 "Soltero" 0.850228774783935
"Alden" 4086 "Viudo" 0.401728520589731
"Amir" 8070 "Soltero" 0.806812404677173
"Kyle" 9080 "Divorciado" 0.909506863243518
"Jermaine" 2798 "Divorciado" 0.270767666497204
"Nathaniel" 5587 "Soltero" 0.554346720894764
"Uriah" 8310 "Soltero" 0.831215048296899
"Harrison" 5522 "Soltero" 0.547737671581088
"Jared" 6186 "Divorciado" 0.615251652262328
"Garrett" 8017 "Viudo" 0.801423487544484
"Victor" 4032 "Casado" 0.396237925775292
"Keefe" 5529 "Soltero" 0.54844941535333
"Martin" 4260 "Viudo" 0.419420437214031
"Forrest" 9082 "Soltero" 0.909710218607016
"Ferris" 464 "Casado" 0.0334519572953737
"Marshall" 5045 "Casado" 0.499237417386884
"Connor" 8719 "Casado" 0.872801220132181
"Curran" 6930 "Viudo" 0.690899847483477
"Justin" 3552 "Soltero" 0.347432638535841
"Kenneth" 8136 "Divorciado" 0.813523131672598
"Aaron" 4976 "Viudo" 0.492221657346212
"Keith" 392 "Soltero" 0.026131164209456
"Cruz" 6093 "Viudo" 0.605795627859685
"Reuben" 1599 "Soltero" 0.148856126080325
"Byron" 3290 "Casado" 0.320793085917641
"Davis" 5589 "Soltero" 0.554550076258261
"Uriel" 9758 "Soltero" 0.978444331469242
"Jerome" 1998 "Viudo" 0.189425521098119
"Vladimir" 3608 "Casado" 0.353126588713777
"Eaton" 9502 "Viudo" 0.952414844941535
"Phillip" 4580 "Viudo" 0.451957295373665
"Barrett" 1818 "Divorciado" 0.171123538383325
"Galvin" 3879 "Viudo" 0.380681240467717
"Aquila" 8692 "Viudo" 0.870055922724962
"Wylie" 624 "Divorciado" 0.0497203863751906
